‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,12
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[8, 9]"
animation_speed,100
sampling_length,6000
vec_length,26







3333.3333333333335,1.146259534072428e-11,-8.230382040475113e-09,-1.5653987583081943e-11,-1.0646350763968683e-08,-6.475810242964023e-11,-3.698704591606318e-08,-2.360293737978652e-10,-1.3577519183450524e-07,-7.826322359472928e-10,-4.775399360962905e-07,-2.505700010036738e-09,-1.570517566713105e-06,-7.679420902865052e-09,-4.9904200248252035e-06,-2.192393831315375e-08,-1.502752392265667e-05,-5.5286644385238733e-08,-4.1689006809856925e-05,-1.0280756156006676e-07,-9.893936504230221e-05,2.5620700743989733e-08,-0.00014690794859309383,2.3219572064657944e-06,0.00045422986807664085,6.085207771185939e-05,0.015247131319438627
0.0,-4.057833020204191e-09,6.997945489861502e-07,-8.206496601336317e-09,-3.1519768285074645e-06,-2.1943738719772064e-08,-1.3481374954430675e-05,-4.655355514968603e-08,-3.789238505251535e-05,9.720093249467205e-08,-4.801319779547053e-05,3.846857821515864e-07,0.00014085469754058372,6.807722459863641e-07,0.0005233011105382955,4.318061493877001e-07,0.0009829408429572611,-2.193168353405324e-06,0.0005044152876275289,-5.444041656768088e-06,-0.002442151608702454,9.582246800034684e-06,-0.0024358610984875923,-1.8152007610493092e-05,0.0023814217940227094,0.00012077646119053506,0.005191749419036003
0.0,7.741697248305788e-08,-2.8629808177239825e-06,1.3520587089149122e-07,7.154340981165026e-05,5.369985459039333e-08,0.00015094500570929148,-3.393769753656936e-07,6.362015906275813e-05,-8.986225572807772e-08,-0.0002217418995948992,1.9002873056593468e-06,0.000432678841450415,2.5354772720738836e-06,0.002247033075917458,-4.435222918619583e-06,0.0019433576271580995,-3.4389889676950536e-06,-0.0021989324044845446,1.0998689867289983e-05,0.001839221823895168,-2.149858879575613e-05,-0.0032095104088763937,6.13938058740301e-06,0.005182080821076692,0.00017505595359656266,0.007071574699727229
0.0,2.1291593569476027e-06,-0.0007612317866104953,1.1653545351101217e-06,0.00024867324555442817,2.1523551542708317e-08,0.0007553536755059347,-1.927726282019558e-06,3.262559948355459e-05,3.0118654312002026e-06,-0.0004898942771542831,3.1544941600355568e-06,0.00309472079172039,-8.551739009040105e-06,0.0008978149177381585,5.360621842062792e-06,-0.0018358716612015848,-4.818793803937628e-06,0.0021065201133205554,1.3017738121777949e-05,-0.002320968133356982,-3.980915856142694e-05,0.0009768491265863494,3.9994134105142156e-05,0.00916820286827482,0.0002267081713800703,0.014892500139250728
0.0,4.266000745701264e-06,-0.0012809997979776363,1.6555429125990423e-06,0.0006953406313424009,-2.0837488029505995e-06,0.000492334507746411,1.9698099568888762e-07,-0.0006019833683207977,-7.988114324937591e-07,0.0002973083737887339,-1.333394802826428e-06,-0.0020537707419560065,8.375253405167315e-06,0.0016927528509623419,-1.5388020852609687e-05,-0.00125929627583487,1.6001881252549082e-05,-0.0006769277062448829,-9.293987377148457e-06,-0.004862877875968054,-4.576395785662595e-05,0.0004384478124860989,6.734481424080154e-05,0.005954903618569427,0.00022536497148391464,0.0017278891458227313
0.0,-5.5289606303774705e-06,0.001531362207015974,-2.1810691149346057e-06,-0.0011250022483334074,4.640282182786406e-06,-0.00020339746072213987,-1.2129787378358586e-06,0.0019445361079529918,1.709149319044452e-06,-0.00040618084426415665,-5.222338616724058e-06,0.001886470649300048,3.478562918029295e-06,-0.0032272135985508513,-4.830479317463668e-06,0.0034415645201753137,2.097388108794652e-05,-0.00039602396325553275,-3.682901511157663e-05,-0.0032413185064788207,-3.335700565101116e-05,0.00432447468105818,9.523606681146738e-05,0.00994558502169094,0.00027662848767311257,0.012509964110727417
0.0,6.476973546796958e-06,-0.0018731896986836894,2.5762261287702425e-06,0.001230192991568051,-5.387649488663173e-06,6.90084952485908e-05,4.424230084451054e-06,-0.0011317026155447973,-9.9858022822024e-06,0.00034823336066149745,1.4132069681225923e-05,-0.0016502888116662652,-1.450895474605636e-05,0.0001893606952398966,1.2575411480198184e-05,0.001648913489307295,1.697807720859968e-05,-0.0006570182032831746,-6.067723231083592e-05,-0.00015338121151158837,-2.3043208963004086e-05,0.003919414479529158,0.00011779081945677028,0.006460387409211959,0.00030204974368757494,0.00991142256602975
0.0,-6.158204081842974e-06,0.0013351381160407714,-1.082396696243683e-07,-0.0012105188971082198,4.141059125596879e-06,0.0014649697747709835,-6.767195219931796e-06,-0.0005127635120193369,4.964882246156036e-06,0.0002967401538074152,2.5169594171593344e-06,-0.0016114180769555258,-1.6705323669263595e-05,-0.001029397760260872,3.530082140085107e-05,0.0014376937175237196,-1.370097750250909e-05,-0.002840515773613785,-6.299499343591468e-05,-0.0005112022634759839,-9.181970430500983e-06,0.004934257970819698,0.00013921432684473522,0.006785678772372482,0.00031318196473185695,0.006080630954454983
0.0,1.0788769434675891e-05,-0.0020353628685026506,-4.0614785507333276e-06,0.0011116113917109829,4.051022423080437e-06,-0.0018943109125248011,-2.5488767966856636e-07,0.0032812178160840514,8.581012630973778e-06,-9.859911650224219e-05,-1.8017297016612596e-05,-0.0026929826089516283,6.031451802581251e-06,0.0015858496700697756,2.79453834211431e-05,-0.0009851931234934688,-3.012414176821894e-05,-0.004980707176868694,-6.435695385818159e-05,0.0019165995969813742,8.100277846476728e-06,0.006677177808313264,0.00016329159525679682,0.011437829137120731,0.0003384784787646137,0.011128889352319786
0.0,-5.174039735632738e-06,-7.380648319435315e-05,7.689904199245292e-06,-3.315773161202988e-05,-7.39988858578498e-06,0.001761154091774003,3.800251162370385e-06,-0.0004804376960021846,7.866241842809707e-06,-0.00016711078964859764,-2.7699082705568783e-05,6.47120386557427e-05,2.1824477966384936e-05,0.002761649077267314,1.9654300028161548e-05,-0.0046830211970922565,-4.6775311880683265e-05,-0.002549678379069433,-6.550743643608272e-05,0.001527901164275079,2.326716912115402e-05,0.007679803929390285,0.0001752234318509423,0.006256818158156266,0.00035282315199979225,0.004102068902789781
0.0,-7.04221235942544e-06,0.0009345682987171712,5.0174991132720885e-06,-0.0006554631051574407,-6.817612930021315e-06,0.0014576229633049547,1.1139389411482143e-05,-6.878240455846882e-05,-1.6670168689882576e-05,-0.000531838882237341,-1.2504650779303668e-05,0.002954891812774659,2.8196503610900238e-05,0.001666989973651168,8.787947399761343e-06,-0.004288996307120528,-6.29634753046898e-05,-0.0015997168523310735,-5.962084637878745e-05,0.00427344001609777,3.7775972624826446e-05,0.008726035925794545,0.00019777288127077142,0.009264542827564544,0.0003778775080636776,0.008876424108519777
0.0,1.4429209868852477e-05,-0.0021049649095318083,-8.440227041609123e-06,0.0003945129333407856,7.287109600328267e-06,-0.00011749556208203262,6.497192671891234e-07,-0.00034055052784550115,-2.860451163211246e-05,6.32547524677944e-05,8.771780887382236e-06,0.0013232502708401242,3.625757704317368e-05,-0.0009956744937523205,-1.140716244815858e-05,-0.002141536833290364,-7.508967682047842e-05,-0.003631106763867984,-5.24888107858737e-05,0.0048803151529047085,5.314008810740942e-05,0.007191309051650123,0.00021785560304483575,0.01018184497437139,0.00038587085620515177,0.0065550173419950345
