‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,13
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[10, 11]"
animation_speed,100
sampling_length,6000
vec_length,28







3333.3333333333335,-4.171917732774124e-12,2.1888173774242454e-09,-1.475423988015442e-12,6.026115860298287e-10,-7.254526474266799e-12,-2.2898841034880594e-09,-3.7768293162673125e-11,-1.7632568072494507e-08,-1.7490034738862084e-10,-9.093374845112362e-08,-9.25963437662973e-10,-4.4917514214673603e-07,-3.323552280277451e-09,-2.0014688639270696e-06,-1.0911256060495225e-08,-7.120975776740619e-06,-3.457528097291501e-08,-2.359893235832748e-05,-1.014717085827404e-07,-7.343982567114258e-05,-2.5914788718921895e-07,-0.00020832759518443685,-4.5538307112470973e-07,-0.000492687942148259,1.0655250769883993e-06,-0.0004895375743934737,5.864202976104343e-05,0.01428940624054724
0.0,-4.682437565708287e-09,3.8088613248104974e-06,5.252894330130667e-09,4.679026098039452e-06,1.1075513977235197e-08,1.1089628951160657e-05,1.0524402301215267e-08,2.0223264942029073e-05,-2.4922761232662392e-08,1.7665694087297377e-05,-1.7621589551471642e-07,-4.883899181737583e-05,-1.5231549752454056e-07,-0.00020684278865504437,6.357008505156288e-07,-6.903643451051277e-05,2.2675661453814084e-06,0.0010445896461558212,1.6100065799461477e-06,0.002840688441539424,-6.509207082658668e-06,0.0012591913689402124,6.024229897510343e-06,-0.0017394740766215055,-1.0209829328042341e-05,0.007010401043792901,0.00014098419711638824,0.015130222280612423
0.0,-2.90159344260423e-07,0.000108755166022345,-2.0161778132161912e-07,-5.412126735148404e-05,-1.336023166620876e-07,-0.00019665388563948428,2.797652206528913e-07,-0.00016094266576015067,8.470833866152986e-07,0.0002942976044379116,-1.7832114782331522e-06,0.0004242079524839073,-3.4909045656596856e-06,-0.00225071039488256,3.1474641350203207e-06,-0.0027204201081802706,4.742225780272448e-06,0.0013527343983338479,-8.926141959683355e-06,-0.0005498622898892162,1.5751708200567795e-05,0.0003297548210795189,-2.7665513997187667e-05,-0.0007296101408645556,1.831924653272806e-05,0.008107434919746916,0.00018959795436431675,0.014263586448273434
0.0,-1.7274237763150408e-06,0.0008001165754980969,-9.71957914934701e-07,-2.2238644514154774e-05,-1.120778045519922e-06,-0.0009015073955538157,9.141406720835746e-07,-0.0011097313618412816,2.380373230312851e-06,0.0004085550028189602,-4.800888714922059e-06,0.0002973016477666297,2.0794225848010803e-06,-0.0025633304157603137,3.4124224973418933e-06,0.0016515401453679542,-3.800682468081485e-06,-0.0008468132591842087,6.283199845205912e-06,0.0037928131672072766,-3.5802093696974804e-07,-0.002692563451028882,-4.214658094860942e-05,0.0010071768837205182,5.220270696016527e-05,0.007841908521020102,0.0002117707731297861,0.00905742986135316
0.0,-2.3175994187763572e-06,0.0008475895309993169,-1.625830162050442e-06,-0.0004830602258040888,9.454683943044657e-07,-0.0009941135540565051,3.1780373263752428e-06,0.0009948514391721428,-3.581970063379672e-06,0.0010594687072584996,5.567648063499307e-06,-0.00040385463123141565,-7.122838142676574e-06,0.002420373594016367,4.148593414910366e-06,-0.0029884391816312403,-7.169013849009413e-06,0.0017392192867527675,2.0215830501577176e-05,-4.081518561654734e-06,-3.03763526504106e-05,-0.004325594671806124,-3.612049287723457e-05,0.0006619296808052798,8.348044189558567e-05,0.00679684282908176,0.0002412024212136407,0.0081325059662748
0.0,-7.3634110766583365e-06,0.0018931006340327777,-1.3890109603149867e-06,-0.0016216919460588656,4.647418045904402e-06,0.0003876389996051319,-2.8979144597704496e-06,0.0011660253777142737,2.576722639845717e-06,0.0003706857678715274,-9.656351962400934e-06,-2.0972888134760903e-05,1.3247493231033626e-05,-0.0010471775173786428,-1.1811638716741012e-05,0.0008552954560354558,7.705455466243993e-06,0.002085622165797478,1.6307166436961515e-05,-0.001604420870936367,-5.4379948621022726e-05,-0.0014025206845704329,-2.2903213994627337e-05,0.0027338366510862556,0.00010674774856500115,0.005189784901985813,0.00027389111879781323,0.00808838022832181
0.0,6.415209172575054e-06,-0.0012192502545385776,-8.805959804943734e-07,0.0014454047969639304,-4.419069951442875e-06,-0.002163440891127463,7.896942587799548e-06,8.458256058610774e-05,-5.364664386202595e-06,0.0010950661733695574,2.397368240289435e-06,0.00020833210620229624,1.9094555118770422e-06,-0.0019515127432524018,-1.3958897710185982e-05,-0.0005767157620817685,3.174988898357233e-05,0.0014376198321137978,-1.4605957310317333e-05,-0.0037800387918054926,-5.728567484830263e-05,-0.0006382366197531893,-8.170342167647202e-06,0.004772197046305983,0.00013094945492234553,0.00663841558635592,0.00029268925703664897,0.006923786603740347
0.0,-1.5211243462971097e-05,0.004002106224066688,-1.7018313287336867e-07,-0.0022971658897653255,1.5026929019800582e-06,0.0007713639273301694,-1.8357940931910209e-06,-0.0019897085745210603,1.9904162548155126e-06,0.0009131022715934808,1.0423344350168495e-05,0.0002448767270563943,-2.2360640497201784e-05,-0.0028868373196614325,1.2190986543793923e-05,0.0016455752441685316,2.6246430427941877e-05,-0.0006083624415552115,-3.297203382478025e-05,-0.0024421478398536393,-6.473722442097684e-05,0.0010527016857083088,1.3482219622787827e-05,0.0050521440607381495,0.00015279908762974966,0.009922101627078656,0.0003036492878616612,0.004648320282183644
0.0,1.2945071673397805e-05,-0.0024970080489326333,-4.776411770328446e-06,0.0015000530225337942,4.801585148482541e-06,-0.001429404993008328,-5.3544196623299e-06,0.0011990271206928792,7.628424128379409e-06,0.0002446107827116385,-2.447017103012527e-06,-0.00010558930835975628,-2.3768442282793804e-05,-0.0009442932371214006,2.9007188018576554e-05,0.001934406345979883,1.5499957254629203e-05,-0.0023362075685748147,-5.528513847085059e-05,-0.0014988455798058983,-5.768088651178548e-05,0.0006882718037538617,2.7213893624671777e-05,0.007648482537922093,0.00017324808042667753,0.006579753193984028,0.00035429439851779294,0.012731513615497436
0.0,-2.7282188121622242e-06,-0.0001527504989562601,4.442045316589778e-06,0.00023810794075293949,-4.127695234233193e-06,0.000252300745604902,2.596476119430827e-07,0.00043833327859217326,8.279603443546898e-06,0.00044859832489184376,-2.5830607000672014e-05,-0.00040597683167927965,2.9140975669316677e-06,0.0024479269240988855,2.851286162027778e-05,0.0005863927127387353,-1.4180451852184156e-06,-0.00329445234211561,-6.340673686288189e-05,-0.0014906184670350324,-5.78868956295957e-05,0.004563397209557474,4.3204632846447895e-05,0.0034052176731934267,0.00020058696071377572,0.00971718434026114,0.0003578515740740621,0.010507556644872185
