‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,40000.0
simu_time,0.075
qty_x,11
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.01
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,2
sampling_length,3000
vec_length,24







1333.3333333333333,-5.233522465019159e-11,8.276361090989963e-09,-5.9014305983466e-11,-2.4307015181814787e-08,-1.6396190491750337e-10,-9.252471595331127e-08,-4.95544328747598e-10,-2.9528859426731426e-07,-1.4424540964536645e-09,-8.953251899697076e-07,-3.8730220222564075e-09,-2.5604988729107472e-06,-8.845719158198547e-09,-6.641698252705572e-06,-1.2269735630700589e-08,-1.3971880721559371e-05,3.073578167383135e-08,-1.2163474638589254e-05,4.0502038076409896e-07,0.00010361556339529067,3.216406642543007e-06,0.0010627677524967694,6.128107678317068e-05,0.015135973690454083
0.0,5.428766331432542e-07,-7.455183845781049e-06,-1.1266576864288055e-06,-0.00025048264210190616,3.832450737394182e-06,0.00025991974505295754,1.4775135856189717e-06,0.003064017453180459,-8.86764282047842e-06,-0.00035455459939417463,1.0287352232892218e-05,-1.8171242432757015e-06,-1.4378706738193725e-05,-3.3009229896435515e-05,2.0880005845629912e-05,0.000881420793574951,-1.5894684906895735e-05,-0.0029411766101728135,-4.827430285513552e-05,0.0024139237652458807,8.190962845572186e-05,0.009014210772924231,0.0002697200225211611,0.010323554101931741
0.0,-7.900524018818785e-07,2.1062292106709056e-05,4.919442128990151e-06,-0.00016853809633852177,-1.0395454680683655e-05,0.00035215925141422364,1.9333535128626784e-05,9.059418577912416e-05,-2.4734212460457594e-05,-7.886021099088194e-06,9.513792619657046e-06,0.001149388279572849,3.211262722456729e-05,-0.0018637837612883589,-4.681701391051056e-05,-0.005257621568200758,-6.823347389651079e-05,-0.0009413057951160772,1.6520663799488024e-05,0.006166883809637327,0.00017810302026308408,0.007774122140821267,0.00035321435889328176,0.0004971728388707334
0.0,-4.460171923726464e-06,1.0664490334282375e-05,1.4694809165000246e-05,0.001247957659341467,-2.4417854809073933e-06,-0.0020275292164293433,-2.8872914355124276e-05,0.0014388618317799657,3.802197048743166e-05,0.0025881018086056236,2.754082191708259e-05,0.00014307106875705331,-4.151905752746802e-05,-0.0036992752245858075,-9.54702899292004e-05,-0.0013231867583696343,-4.2967496074285725e-05,0.0024504652039016427,8.180673722641236e-05,0.007576598561939607,0.00026236371631809045,0.005059621985252981,0.0004644075453148279,0.007801376481739527
0.0,-1.8377495382123506e-05,-0.0003009625127662121,-3.598723802586665e-05,0.0024762335422057317,-1.005162855167629e-05,0.0015288467095068885,2.8920723334002193e-05,0.0028099280954436336,4.426432777159199e-05,-0.0020557451747102735,-3.156955445847414e-05,-0.005663297121338519,-9.326496294539419e-05,-0.0017282652816269716,-9.116800847792225e-05,0.0009523605076458058,-3.6921127039564825e-06,0.008364191246123006,0.00014394340493162033,0.005403854553289874,0.00034227104811582085,0.00999238255814566,0.0005288188120024004,0.011606696390751509
0.0,9.184470873200164e-06,-6.149298377930391e-05,-5.503589905786559e-06,0.0001396976303613079,2.1814360794294294e-05,0.0017526533165742844,5.771294462217859e-05,0.001654577439007695,1.8194712784998705e-06,-0.004448243467304398,-0.00010136674517391432,-0.002267591753275599,-9.988652299312054e-05,0.000670099698729946,-8.636484348180486e-05,0.004944205259278547,4.820840887937434e-05,0.005623658799124615,0.00020593314747672394,0.007321977979125111,0.0003996705836017453,0.009815258299486998,0.0005987462169178224,0.013538969558805285
0.0,4.5683381545834025e-06,0.00031245499300439707,7.80663964527203e-05,0.0019343654495067317,8.905414956940975e-05,-0.0009403280348563763,-2.7400834966495096e-06,-0.004427410224514604,-7.208105803032056e-05,-0.002240511757985028,-0.00010118820129063078,-0.0011147008108868867,-0.000123939890864896,0.00046489961689935875,-5.91520493418379e-05,0.0043026939618339985,0.00011458563772478841,0.004817592729277402,0.00024275563248102956,0.00915126099406588,0.00046080669459300824,0.00870407309244237,0.0006222914867463208,0.0051478334149388455
0.0,3.31518965239875e-06,1.70124445437457e-05,4.353448993269669e-05,0.003797393300026091,6.20333757337044e-05,-0.0016432938325417737,2.657428037880479e-06,-0.003000935914621179,-0.00012322419628294355,-0.004698552881421135,-0.00016158141428570578,0.0022116884301479917,-9.075302638075164e-05,0.0029132135490377103,-4.289679128558039e-06,0.0029327852054823896,0.00012768626892610278,0.007217451240075811,0.0003066644698502761,0.008739649288284095,0.0005109168209259057,0.008689986299245103,0.000650102858864624,-0.00019545174111828428
0.0,-1.2916253287996742e-05,-4.897772460378334e-05,-9.563849277977159e-06,0.0008961217932621997,-3.0275978961448707e-05,-0.003476274659131505,-5.161048936812745e-05,-0.0001000871833625374,-0.00010034276395288531,-0.003201805611935415,-0.00016762566125454753,0.0004836448243836802,-0.00010241900926877156,0.003062328096225133,2.603234256760809e-05,0.0076715635895716625,0.00019596995853193947,0.006678944198261873,0.0003554609115849855,0.005231317182770703,0.0005271854203470612,0.008066528467496947,0.0007884995234847327,0.014402318390971705
0.0,-3.784934774712671e-05,-0.00012555222398377843,-3.826869341634318e-05,-0.0010473377085280097,-0.00011170707008201249,-0.0009419798321400339,-0.00014481292769257068,0.0003187188891757757,-0.0001177932927039144,0.0012443570379919318,-0.00010793835030773774,-0.001410460220147838,-8.254919694360117e-05,0.003921542029790678,4.149623073705885e-05,0.007381288368852342,0.0002248132661629278,0.009491281743283618,0.0004029325229172657,0.00844794874322692,0.0006046511561986294,0.007091790957564542,0.0007724652531675053,0.011418863412241118
