‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,2e-07
fs,50000.0
simu_time,0.075
qty_x,20
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000.00000006, 0.0]"
jig_position,"[20, 21]"
animation_speed,2
sampling_length,3750
vec_length,42







1333.3333333333333,-6.006892969221357e-16,5.461183310356834e-13,5.700296471802115e-17,3.416128156984946e-13,1.0555241989265079e-16,4.648548045382378e-13,-8.533132404913109e-16,1.6824954054624684e-13,-7.30157112697362e-15,-3.93393555762639e-12,-3.962027552791648e-14,-2.848698078552404e-11,-1.8326294565944196e-13,-1.470555498707589e-10,-7.786775311755921e-13,-6.636158096624935e-10,-3.130711937069155e-12,-2.776380221764756e-09,-1.2079553805333573e-11,-1.1036945059414946e-08,-4.5037428228995746e-11,-4.218809618962127e-08,-1.6281144564760071e-10,-1.5598907564307998e-07,-5.703545115458901e-10,-5.590300730495166e-07,-1.9304456681254164e-09,-1.940067431765765e-06,-6.2668267098138546e-09,-6.492642540129917e-06,-1.922781019819494e-08,-2.0763674811499757e-05,-5.40446104358573e-08,-6.230003684068973e-05,-1.2831327177244576e-07,-0.00016834435209533248,-1.7524128264415883e-07,-0.0003620811358419416,9.773435689245316e-07,-0.00012107312104363928,3.7695619375100786e-05,0.014750342091312537
0.0,-7.584063087942327e-06,0.002755537183553381,1.6351307818187386e-07,-0.0021266491016827165,2.689832214022506e-06,0.0015799899861527569,-3.757717310105605e-06,-0.00030486984053263057,2.823890745726779e-06,-0.0004998922172407849,-2.0138960511860983e-06,2.462984214147523e-06,2.998178014336356e-06,0.000734175820411962,-5.221618172836278e-06,-0.0009814325415888128,5.2027547532286236e-06,-0.00031212314004535734,-2.1941085163292085e-06,-0.0004603424193899918,-2.1560128932083183e-06,0.0015169217160263726,8.934740731437777e-06,-0.0018461526718272082,-1.4202639182290835e-05,-0.0017810138486082125,5.3743761221464615e-06,0.003751828887107596,2.1178317776320512e-05,0.0004344548643328926,-8.070115631421897e-06,-0.002717183275572987,-4.660414746015825e-05,-0.001946016443189013,-3.192026095618495e-05,0.0032106834291632624,3.35411250127564e-05,0.006670600802110753,0.00013344125288577402,0.009524123485965418,0.0002410949493003473,0.011076810539873576
0.0,-1.9615964876615662e-05,0.004058359975988545,1.3379503631309271e-05,-0.000609850164904808,-1.3745389129015646e-05,-0.0005038719554743927,6.719446382954379e-06,0.0016477189819456353,4.20362534081232e-06,-0.0014369400011136689,-9.79810779864963e-06,-0.0003080915726215496,5.454530050543e-07,0.0011611990639663152,1.3889043150415495e-05,0.00038575089517950254,-4.280399475976076e-06,-0.0009814643083058169,-1.7305639458446702e-05,0.000858842564341602,9.757481634705749e-06,0.0006062445365085656,3.447746364205923e-05,0.0013828043585881328,2.2626222363525196e-05,-0.00286533189041669,-1.4283736334175155e-05,-0.0027135565876251094,-5.2959964713121046e-05,-0.002577264306568778,-6.55173199063053e-05,0.0016838086133938964,-3.9552785572762484e-05,0.003257343370596965,3.567505804742724e-05,0.006615668146726533,0.0001221023642773613,0.008870373313696792,0.00022877331351468382,0.007260856184183785,0.0003420252904789592,0.01082486939715115
0.0,1.924327503564515e-05,-0.0015779806401698968,-1.0398947742065294e-05,-0.0027232293290399097,-6.183834094506606e-06,0.0025519001329432412,7.181835644211611e-06,0.0002519772586231866,8.140756308626486e-06,-0.001799864287897749,1.7165474787806002e-06,-0.0002318381553837633,-1.1462185197886925e-05,-0.0015669409954731997,-1.6112885311955213e-05,0.0019245866577810458,7.284024277942782e-06,0.0031128208408709697,1.1362452284539614e-05,-0.001906717588959128,-6.68966933189839e-06,-0.0010151188037947128,-1.0864294228302771e-05,-0.0022173344573438334,-5.0364433478505905e-05,-0.0005191114407806311,-6.042196430981725e-05,-0.002757538161958842,-7.780051631803185e-05,8.699798431395416e-05,-5.4705053447532044e-05,0.003799431721900871,8.569788737474185e-06,0.006739635201118561,0.00010138029143967274,0.00681775071634613,0.00020010204134433948,0.00824395674025467,0.00030036383758967866,0.008761123034151922,0.00041415590717453057,0.008987607609647648
0.0,-3.208077114372196e-05,0.0043327807502903425,7.225070268312334e-06,0.002371452591721128,2.1360285467762454e-05,-0.0024127356180282528,-2.7107170050002544e-06,-0.0013572265295214614,-2.5024766713426448e-05,-0.001253722673392299,-8.577703057120066e-06,0.002732810168710698,1.3023257201252704e-05,0.0013373829806435345,9.412621028440277e-06,-0.0015601121519753466,-1.598752759848371e-06,-1.3162358010334425e-05,5.6238960422873605e-06,0.0001261667861427247,-2.2468137965460222e-05,-0.0046219598413027195,-9.239815759961399e-05,-0.004873299319082997,-0.00012557009917972436,-0.0008142248948246868,-0.0001073285095897435,0.002063795068772607,-7.292811986173203e-05,0.00462595966075881,6.198241550075315e-06,0.008739307944329118,7.68253402108282e-05,0.0032480893167010166,0.0001546835529976847,0.007379429859662341,0.00025260001818151826,0.009297654698652253,0.00035757199839585974,0.009310443482959061,0.0004992052287069159,0.011819096453391891
0.0,2.5065595018141154e-05,0.0005002724537952259,-6.464471990083643e-07,-0.0046175326197792806,-2.0316663409263156e-05,0.0001169242169965455,-9.841290021338963e-06,0.0008919835440455506,-1.656792231693395e-06,0.0014511494174955114,1.777503535869008e-05,0.0011369181342477937,1.2923834884028e-05,-0.001032011364099894,1.1551785567182246e-05,0.0014373430128692265,2.8607512067624996e-05,0.0015189542098672413,3.345429693513834e-05,-0.0020682516012695265,1.1896168347882817e-05,-0.003719920385638854,-6.44656336254115e-05,-0.005149486147199542,-9.803328970235714e-05,0.00022933531217394425,-9.828966417000474e-05,-0.000946501278848248,-7.132070913233344e-05,0.0042728064988157505,1.4948796553270232e-06,0.00858284224328506,0.00012081573595376698,0.008699172093163407,0.00022974152150930383,0.010622927938914948,0.0003365798868236134,0.006162207446930346,0.0004234150899659271,0.005631674060711193,0.0004982714055945055,0.007043873238284293
0.0,1.0653323175448961e-05,-0.0018407702741141906,-8.875920825998618e-06,-5.951043632923479e-05,2.401024061602943e-06,-0.0007477996791061853,-5.50300678307447e-06,0.0007045663369780117,-9.64536016523346e-06,-0.0013712044639722087,5.228584168868658e-06,0.00315277239828816,4.6038780672294417e-05,0.0038583316199796353,6.118019873596554e-05,-0.0008001871146121895,5.4069075788441766e-05,-0.0022918666935607106,9.897169988994937e-06,-0.003614499597824798,-9.034729873135817e-06,0.00042637204870947716,-7.45794192091324e-06,-0.0005546052134581285,-2.0667543247208815e-05,-0.0013389919422585276,-4.2558976306775856e-05,-0.0003376611460026663,-2.7826105590109763e-05,0.0021033667478222826,3.2708651861161626e-05,0.008042762083167176,0.00013964530306279392,0.00825514275747134,0.00026881092744071393,0.009788132703176697,0.000372747572089542,0.008199000091298345,0.0004731816081057159,0.009104765472971316,0.0005944458739339326,0.009631724863071253
0.0,-1.0173560161981569e-05,-0.0001910810782397334,-1.1230985369622395e-05,-0.0005144703367969153,-2.162705705482768e-05,0.0005916066728798928,8.094153119935313e-06,0.004013295741027697,4.793391190619427e-05,-0.00026096491026751515,3.584911673467e-05,0.0005063465042609215,3.4690089782028195e-05,0.00024109751453454294,5.092059853330905e-05,2.9595520156085864e-05,3.959665124374489e-05,-0.00037881956685557265,3.107776177457744e-05,-0.0012408916646777415,1.3983058878437532e-05,-0.0023485860121378313,-1.7212747363251736e-06,-0.0011181012065065948,-9.404514627089717e-06,0.0021432761284584205,3.152291469816421e-05,0.0048055847336455956,0.00010050031165667082,0.004437764699748702,0.0001221124200828446,0.0011838642926510566,0.00016627361006510858,0.003670202144968653,0.0002356560154313426,0.008464842468352678,0.0003733811797842021,0.013527946646398836,0.0005349807546189434,0.01324938297011306,0.0007175900631492463,0.015031275238870795
0.0,-8.242676697439586e-05,0.00487346822488178,-2.2199451786613896e-05,0.004424129286832565,2.298636941609114e-05,0.002730879469397259,3.703322250460804e-05,0.00026193576189494143,3.780214069925912e-05,-0.00023356466972691088,5.5347279451537706e-05,0.002421216592835397,6.528960491199633e-05,-0.00029059629708002053,4.1988325289972894e-05,-0.0030247832032037117,8.291126237129207e-06,-0.0030557004551181274,-2.602819510894804e-05,-0.0003688144113562098,1.2719394317836703e-06,0.0029811418477863876,4.3606882268224125e-05,0.0023768467496544645,6.52694887719261e-05,0.002742021850688935,9.466636524313607e-05,0.0033330250639647483,0.00014114091361743626,0.0020297842347791195,0.00016420281006167828,0.0016165581093488366,0.00021268679552107148,0.007134920292016665,0.0003115782169448471,0.008107093676434274,0.0004194652643093523,0.010935797749678426,0.0005688186711891069,0.010476712670210282,0.000704011101729836,0.011593735087455107
0.0,-6.490806428594814e-05,0.00321569588722468,-3.915942806322911e-05,0.001197104751159813,8.874916300359026e-06,0.00538007938937332,6.045497879859985e-05,0.003227640744100584,9.629316081527855e-05,0.0004547752663701537,7.056676135975149e-05,-0.0033338080965719372,2.7219854524263698e-05,-0.002034954450441771,-6.176764741383199e-06,-0.003297500296210455,-1.3391191222694674e-05,0.00014984289559830528,7.970538976305442e-06,0.0030851457605719185,1.785061997059375e-05,0.0011276049912316978,5.1152843026236066e-05,0.004283109203237064,0.00010364658760820918,0.001896895039263544,0.00013162455312398016,0.0024582026081404573,0.0001579872493160671,0.003404827479026533,0.00021831055579122068,0.006289341291110849,0.0003088893496865791,0.007337634206964604,0.0004153719241525531,0.008573549575441148,0.0004905998666892815,0.005161296870447115,0.0005620546485841361,0.006117911278185705,0.0006514236521233796,0.007743019774956663
