‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,100
sampling_length,6000
vec_length,22







3333.3333333333335,5.7343368574240735e-11,-3.7499396599066525e-08,-6.519857986071517e-11,-4.583518056660885e-08,-1.8850486183162139e-10,-1.1870211538701432e-07,-4.073967620183902e-10,-2.9410843095423693e-07,-4.415412788898467e-10,-5.722859904950692e-07,2.2043454072605616e-09,-2.602720303490905e-07,2.1937045855162433e-08,5.714145311847107e-06,1.3067871098953513e-07,4.512513220889454e-05,6.697197343565252e-07,0.0002545174936612303,3.759220285304565e-06,0.001367180114378957,6.0002900378416e-05,0.014155711090720953
0.0,-3.6977710772100914e-09,9.222272820072965e-07,-6.769110761927361e-09,-1.6086884934341163e-06,-3.098675653761112e-08,-1.1760461596291337e-05,-1.06815367869378e-07,-5.01836082482278e-05,-2.8286820979461003e-07,-0.00016248532843532391,-5.031248742889904e-07,-0.0004015276339404748,-7.738942145250432e-08,-0.0006292371421611699,3.2215044827665334e-06,0.0001428898386899712,8.794042771571537e-06,0.003854614047454396,-2.0942921959767967e-05,0.0031952348022894115,0.00014080057686042836,0.014349256835576515
0.0,-4.917041772297568e-08,8.97804629597659e-06,-1.2614350827859227e-07,-3.4804855626206294e-05,-4.2976715250747073e-07,-0.00019280639534701634,-8.08740391843838e-07,-0.0005705014687260762,-3.1159393360917733e-07,-0.0009735423280218076,2.705958676610984e-06,-0.00036955553239831655,4.928310245840446e-06,0.0021683967441965112,-7.933751140015813e-06,0.0020804562510321097,2.042981168387243e-06,-0.003079429107630453,-1.2606275672612717e-05,0.005371353585171031,0.00017706320538715887,0.009569845432389746
0.0,-1.1821482629313125e-06,5.630382541737409e-05,-1.101379802904691e-06,-0.00060881450627553,-3.4683769930430725e-07,-0.0011100231215376301,2.5654595657572263e-06,-0.0005255762534661603,4.024860061574905e-06,0.0016882749953081228,-4.655171514843112e-06,0.0019434381832911095,-4.893592368506887e-06,-0.002238818292769355,1.3477945797650266e-05,0.0015305283044506905,-2.716496993994857e-05,-0.003607428073122686,6.99165294702704e-06,0.004242343380606282,0.00020470870711902767,0.004445838058119559
0.0,-9.323921616657109e-07,-2.7130622264126585e-05,1.4010567481034657e-06,4.858168802552611e-06,3.154507393853269e-06,0.001569763729991591,-3.092954534354752e-06,0.0019212581305505301,-5.284650306230628e-06,-0.0013466064801312514,9.51170170482808e-06,-9.520400215329571e-05,-1.2359037613798122e-05,0.0010575660435029634,1.7871955065298977e-05,-0.0024107562314893806,-4.623242105367692e-05,-0.002209441714361272,3.0980222685764385e-05,0.0036833339675174516,0.00022783489160911195,0.0011575235764599398
0.0,8.396058566603538e-06,-0.00019477960535220897,2.2025795109991523e-07,0.0026166750112455632,-5.4786909133288835e-06,0.0004618354673124423,4.9897635821741105e-06,-3.1131625015119084e-05,-3.18400673284125e-06,0.002066145363772157,-3.182332206602859e-06,-0.002542774956271934,4.789442730899677e-06,0.0021927007952920233,4.143112744745525e-06,-0.003916654069354478,-5.503841604844514e-05,-0.0006334547417789233,5.889373405119039e-05,0.004960201128775745,0.0002521368094651602,0.0015546088372879986
0.0,-1.1554726885226207e-05,0.00019191608998800878,2.8491938108871137e-06,-0.0027279251337571104,4.749363011359637e-06,0.0008990611158748558,-5.58379086510281e-06,-0.0003056452542651593,1.081241704597933e-05,0.0015017685423163308,-1.702474451790023e-05,0.00032120746907793476,2.0912020914260374e-05,0.0008851879046765525,-1.602979847584063e-05,-0.0036264412648663895,-5.439010220980165e-05,0.0012967107831194193,8.65935490885125e-05,0.007359856154030636,0.00028501014516264485,0.006065200479229621
0.0,9.16082576791487e-06,-6.962452553550637e-05,-5.6221478621847134e-06,0.0008945251203250704,2.7365634167859174e-06,-0.0011691331604143824,-5.87447678369256e-06,-0.00012160968345131763,8.826826036534933e-06,-0.002794025339656863,-9.707605890437647e-06,0.0028924376575845063,2.77474036033768e-05,0.0006013060041885811,-3.901791415140386e-05,-0.002106709067860717,-4.5784488103114934e-05,0.003873788965967087,0.0001096053350348975,0.009439587445806592,0.0003248486123285944,0.012223630501352596
0.0,2.535950125152138e-06,-2.9935959205832395e-05,-2.502885312734864e-06,0.0007766828528505691,-2.346782898457074e-06,-0.0023844360811407657,9.55670191981387e-06,0.002191736774403827,-1.3141908992931674e-05,-0.002016382783445048,2.8411572668223337e-06,0.0007316090186189575,2.8453482796641604e-05,-0.0020090669984552867,-5.5661627821679804e-05,-0.0007540199800341741,-3.268716937886288e-05,0.0071704123432190054,0.00012657150552343392,0.01087855290050693,0.00035727470493610833,0.01551406365866651
0.0,-1.9667219219068774e-05,0.00012522404750409151,1.4127848722444521e-05,-0.0010874432688935173,-1.1913062157276033e-05,0.0020394789413200843,1.0280437904461627e-05,-0.0019890795498875838,-1.4803354059906443e-05,-0.0005425612601678165,1.9561350348677886e-05,0.002897467015405509,8.174806544123996e-06,-0.0028675394872543667,-7.048982936093039e-05,-0.002812943975024424,-1.724180330269343e-05,0.005461804647488778,0.00014840890603602062,0.01051739914168352,0.00038378731228499275,0.017319754144042385
